Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes,,Vteam,Hteam
Sat Nov 4 2017,9:00 PM,Golden State Warriors,127,Denver Nuggets,108,Box Score,,19711,,,Golden State Warriors,Denver Nuggets
Sat Nov 4 2017,7:00 PM,Sacramento Kings,99,Detroit Pistons,108,Box Score,,17683,,,Sacramento Kings,Detroit Pistons
Sat Nov 4 2017,3:30 PM,Memphis Grizzlies,113,Los Angeles Clippers,104,Box Score,,14777,,,Memphis Grizzlies,Los Angeles Clippers
Sat Nov 4 2017,8:00 PM,Dallas Mavericks,99,Minnesota Timberwolves,112,Box Score,,16837,,,Dallas Mavericks,Minnesota Timberwolves
Sun Nov 5 2017,3:00 PM,Atlanta Hawks,117,Cleveland Cavaliers,115,Box Score,,20562,,,Atlanta Hawks,Cleveland Cavaliers
Sun Nov 5 2017,7:00 PM,Utah Jazz,110,Houston Rockets,137,Box Score,,16914,,,Utah Jazz,Houston Rockets
Sun Nov 5 2017,3:30 PM,Miami Heat,104,Los Angeles Clippers,101,Box Score,,15676,,,Miami Heat,Los Angeles Clippers
Sun Nov 5 2017,9:30 PM,Memphis Grizzlies,102,Los Angeles Lakers,107,Box Score,,18997,,,Memphis Grizzlies,Los Angeles Lakers
Sun Nov 5 2017,8:00 PM,Charlotte Hornets,94,Minnesota Timberwolves,112,Box Score,,14124,,,Charlotte Hornets,Minnesota Timberwolves
Sun Nov 5 2017,7:30 PM,Indiana Pacers,101,New York Knicks,108,Box Score,,17889,,,Indiana Pacers,New York Knicks
Sun Nov 5 2017,6:00 PM,Boston Celtics,104,Orlando Magic,88,Box Score,,17731,,,Boston Celtics,Orlando Magic
Sun Nov 5 2017,9:00 PM,Oklahoma City Thunder,99,Portland Trail Blazers,103,Box Score,,19393,,,Oklahoma City Thunder,Portland Trail Blazers
Sun Nov 5 2017,7:00 PM,Phoenix Suns,95,San Antonio Spurs,112,Box Score,,18038,,,Phoenix Suns,San Antonio Spurs
Sun Nov 5 2017,6:00 PM,Washington Wizards,107,Toronto Raptors,96,Box Score,,19800,,,Washington Wizards,Toronto Raptors
Mon Nov 6 2017,7:30 PM,Boston Celtics,110,Atlanta Hawks,107,Box Score,,13215,,,Boston Celtics,Atlanta Hawks
Mon Nov 6 2017,10:30 PM,Miami Heat,80,Golden State Warriors,97,Box Score,,19596,,,Miami Heat,Golden State Warriors
Mon Nov 6 2017,9:00 PM,Brooklyn Nets,98,Phoenix Suns,92,Box Score,,15905,,,Brooklyn Nets,Phoenix Suns
Tue Nov 7 2017,7:00 PM,Milwaukee Bucks,119,Cleveland Cavaliers,124,Box Score,,20562,,,Milwaukee Bucks,Cleveland Cavaliers
Tue Nov 7 2017,9:00 PM,Brooklyn Nets,104,Denver Nuggets,112,Box Score,,14058,,,Brooklyn Nets,Denver Nuggets
Tue Nov 7 2017,7:00 PM,New Orleans Pelicans,117,Indiana Pacers,112,Box Score,,15014,,,New Orleans Pelicans,Indiana Pacers
Tue Nov 7 2017,7:30 PM,Charlotte Hornets,113,New York Knicks,118,Box Score,,18704,,,Charlotte Hornets,New York Knicks
Tue Nov 7 2017,10:00 PM,Memphis Grizzlies,98,Portland Trail Blazers,97,Box Score,,18692,,,Memphis Grizzlies,Portland Trail Blazers
Tue Nov 7 2017,10:00 PM,Oklahoma City Thunder,86,Sacramento Kings,94,Box Score,,17583,,,Oklahoma City Thunder,Sacramento Kings
Tue Nov 7 2017,8:30 PM,Los Angeles Clippers,107,San Antonio Spurs,120,Box Score,,18418,,,Los Angeles Clippers,San Antonio Spurs
Tue Nov 7 2017,7:30 PM,Chicago Bulls,114,Toronto Raptors,119,Box Score,,19800,,,Chicago Bulls,Toronto Raptors
Tue Nov 7 2017,9:00 PM,Philadelphia 76ers,104,Utah Jazz,97,Box Score,,16063,,,Philadelphia 76ers,Utah Jazz
Tue Nov 7 2017,7:00 PM,Dallas Mavericks,113,Washington Wizards,99,Box Score,,14505,,,Dallas Mavericks,Washington Wizards
Wed Nov 8 2017,8:00 PM,Los Angeles Lakers,96,Boston Celtics,107,Box Score,,18624,,,Los Angeles Lakers,Boston Celtics
Wed Nov 8 2017,7:00 PM,Indiana Pacers,97,Detroit Pistons,114,Box Score,,14407,,,Indiana Pacers,Detroit Pistons
Wed Nov 8 2017,10:30 PM,Minnesota Timberwolves,101,Golden State Warriors,125,Box Score,,19596,,,Minnesota Timberwolves,Golden State Warriors
Wed Nov 8 2017,7:00 PM,New York Knicks,99,Orlando Magic,112,Box Score,,18803,,,New York Knicks,Orlando Magic
Wed Nov 8 2017,9:00 PM,Miami Heat,126,Phoenix Suns,115,Box Score,,16500,,,Miami Heat,Phoenix Suns
Thu Nov 9 2017,10:30 PM,Oklahoma City Thunder,94,Denver Nuggets,102,Box Score,,19520,,,Oklahoma City Thunder,Denver Nuggets
Thu Nov 9 2017,8:00 PM,Cleveland Cavaliers,113,Houston Rockets,117,Box Score,,18055,,,Cleveland Cavaliers,Houston Rockets
Thu Nov 9 2017,10:00 PM,Philadelphia 76ers,108,Sacramento Kings,109,Box Score,,17583,,,Philadelphia 76ers,Sacramento Kings
Thu Nov 9 2017,7:30 PM,New Orleans Pelicans,118,Toronto Raptors,122,Box Score,,19800,,,New Orleans Pelicans,Toronto Raptors
Thu Nov 9 2017,7:00 PM,Los Angeles Lakers,95,Washington Wizards,111,Box Score,,20356,,,Los Angeles Lakers,Washington Wizards
Fri Nov 10 2017,7:30 PM,Charlotte Hornets,87,Boston Celtics,90,Box Score,,18624,,,Charlotte Hornets,Boston Celtics
Fri Nov 10 2017,8:00 PM,Indiana Pacers,105,Chicago Bulls,87,Box Score,,22416,,,Indiana Pacers,Chicago Bulls
Fri Nov 10 2017,7:00 PM,Atlanta Hawks,104,Detroit Pistons,111,Box Score,,16687,,,Atlanta Hawks,Detroit Pistons
Fri Nov 10 2017,9:00 PM,Los Angeles Clippers,111,Oklahoma City Thunder,120,Box Score,,18203,,,Los Angeles Clippers,Oklahoma City Thunder
Fri Nov 10 2017,9:00 PM,Orlando Magic,128,Phoenix Suns,112,Box Score,,16507,,,Orlando Magic,Phoenix Suns
Fri Nov 10 2017,10:00 PM,Brooklyn Nets,101,Portland Trail Blazers,97,Box Score,,19393,,,Brooklyn Nets,Portland Trail Blazers
Fri Nov 10 2017,9:00 PM,Milwaukee Bucks,94,San Antonio Spurs,87,Box Score,,18418,,,Milwaukee Bucks,San Antonio Spurs
Fri Nov 10 2017,9:00 PM,Miami Heat,84,Utah Jazz,74,Box Score,,18306,,,Miami Heat,Utah Jazz
Sat Nov 11 2017,8:30 PM,Cleveland Cavaliers,111,Dallas Mavericks,104,Box Score,,20378,,,Cleveland Cavaliers,Dallas Mavericks
Sat Nov 11 2017,9:00 PM,Orlando Magic,107,Denver Nuggets,125,Box Score,,16688,,,Orlando Magic,Denver Nuggets
Sat Nov 11 2017,8:30 PM,Philadelphia 76ers,114,Golden State Warriors,135,Box Score,,19596,,,Philadelphia 76ers,Golden State Warriors
Sat Nov 11 2017,8:00 PM,Memphis Grizzlies,96,Houston Rockets,111,Box Score,,18055,,,Memphis Grizzlies,Houston Rockets
Sat Nov 11 2017,8:30 PM,Los Angeles Lakers,90,Milwaukee Bucks,98,Box Score,,18717,,,Los Angeles Lakers,Milwaukee Bucks
Sat Nov 11 2017,7:00 PM,Los Angeles Clippers,103,New Orleans Pelicans,111,Box Score,,17624,,,Los Angeles Clippers,New Orleans Pelicans
Sat Nov 11 2017,8:00 PM,Sacramento Kings,91,New York Knicks,118,Box Score,,19812,,,Sacramento Kings,New York Knicks
Sat Nov 11 2017,9:00 PM,Minnesota Timberwolves,110,Phoenix Suns,118,Box Score,,16910,,,Minnesota Timberwolves,Phoenix Suns
Sat Nov 11 2017,8:30 PM,Chicago Bulls,94,San Antonio Spurs,133,Box Score,,18418,,,Chicago Bulls,San Antonio Spurs
Sat Nov 11 2017,9:00 PM,Brooklyn Nets,106,Utah Jazz,114,Box Score,,17413,,,Brooklyn Nets,Utah Jazz
Sat Nov 11 2017,7:00 PM,Atlanta Hawks,94,Washington Wizards,113,Box Score,,17260,,,Atlanta Hawks,Washington Wizards
Sun Nov 12 2017,3:30 PM,Toronto Raptors,94,Boston Celtics,95,Box Score,,18624,,,Toronto Raptors,Boston Celtics
